text,label,source
how is my boy  no sweet words left for me this morning      sighs      how goes you day  my love   did you start your studying,0,kaggle
congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts cs www smsco net å 1 50pm approx 3mins,1,kaggle
transaction alert  rs 50000 debited from pnb account for airtel payment,0,seed
if anyone calls for a treadmill say you ll buy it  make sure its working  i found an ad on craigslist selling for    lt   gt,0,kaggle
frnd s not juz a word     not merely a relationship     its a silent promise which says       i will be with you    wherevr   whenevr   forevr    gudnyt dear,0,kaggle
oi when you gonna ring,0,kaggle
dunno i juz askin cos i got a card got 20  off 4 a salon called hair sense so i tot it s da one ì_ cut ur hair,0,kaggle
loans for any purpose even if you have bad credit  tenants welcome  call noworriesloans com on 08717111821,1,kaggle
its a valentine game      send dis msg to all ur friends     if 5 answers r d same then someone really loves u  ques  which colour suits me the best rply me,0,kaggle
living is very simple   loving is also simple   laughing is too simple   winning is tooo simple   but  being  simple  is very difficult   gud nte,0,kaggle
tomarrow final hearing on my laptop case so i cant,0,kaggle
you bad girl  i can still remember them,0,kaggle
for the first time in the history  need   comfort  and  luxury  are sold at same price in india     onion rs   lt   gt  petrol rs   lt   gt  beer rs   lt   gt  shesil  lt   gt,0,kaggle
your irctc ticket pnr 3124181649 for 5 april is confirmed,0,seed
1000 s of girls many local 2 u who r virgins 2 this   r ready 2 4fil ur every sexual need  can u 4fil theirs  text cute to 69911 å 1 50p  m,1,kaggle
they did t play one day last year know even though they have very good team   like india,0,kaggle
collect your valentine s weekend to paris inc flight   hotel   å 200 prize guaranteed  text  paris to no  69101  www rtf sphosting com,1,kaggle
total video converter free download type this in google search,0,kaggle
first answer my question,0,kaggle
call to the number which is available in appointment  and ask to connect the call to waheed fathima,0,kaggle
i can t believe how attached i am to seeing you every day  i know you will do the best you can to get to me babe  i will go to teach my class at your midnight,0,kaggle
did he say how fantastic i am by any chance  or anything need a bigger life lift as losing the will 2 live  do you think i would be the first person 2 die from n v q,0,kaggle
thanks  it was only from tescos but quite nice  all gone now  speak soon,0,kaggle
howz pain it will come down today do as i said ystrday ice and medicine,0,kaggle
smsservices  for yourinclusive text credits  pls goto www comuk net login  3qxj9 unsubscribe with stop  no extra charge  help 08702840625 comuk  220 cm2 9ae,1,kaggle
i m now but have to wait till 2 for the bus to pick me,0,kaggle
how come,0,kaggle
what s nannys address,0,kaggle
your board is working fine  the issue of overheating is also reslove  but still software inst is pending  i will come around 8 o clock,0,kaggle
dude we should go sup again,0,kaggle
nothing will ever be easy  but don t be looking for a reason not to take a risk on life and love,0,kaggle
r we still meeting 4 dinner tonight,0,kaggle
today i m not workin but not free oso    gee    thgt u workin at ur fren s shop,0,kaggle
she left it very vague  she just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place  but checking online now and all places around usc are  lt   gt  and up,0,kaggle
transaction alert  rs 5000 debited from axis account for flipkart payment,0,seed
you are now unsubscribed all services  get tons of sexy babes or hunks straight to your phone  go to http   gotbabes co uk  no subscriptions,1,kaggle
yup i m free,0,kaggle
shall i come to get pickle,0,kaggle
i ll always be there  even if its just in spirit  i ll get a bb soon  just trying to be sure i need it,0,kaggle
not yet chikku  wat abt u,0,kaggle
princess  i like to make love  lt   gt  times per night  hope thats not a problem,0,kaggle
call germany for only 1 pence per minute  call from a fixed line via access number 0844 861 85 85  no prepayment  direct access  www telediscount co uk,1,kaggle
december only  had your mobile 11mths   you are entitled to update to the latest colour camera mobile for free  call the mobile update vco free on 08002986906,1,kaggle
i accidentally brought em home in the box,0,kaggle
i hope your pee burns tonite,0,kaggle
babe  i fucking love you too    you know  fuck it was so good to hear your voice  i so need that  i crave it  i can t get enough  i adore you  ahmad  kisses,0,kaggle
private  your 2003 account statement for 078,1,kaggle
you still around  i could use a half 8th,0,kaggle
yo im right by yo work,0,kaggle
then cant get da laptop  my matric card wif ì_ lei,0,kaggle
i will send them to your email  do you mind  lt   gt  times per night,0,kaggle
dear  will call tmorrow pls accomodate,0,kaggle
i need    coz i never go before,0,kaggle
i m on the bus  love you,0,kaggle
ok i m coming home now,0,kaggle
r u here yet  i m wearing blue shirt n black pants,0,kaggle
so wats ur opinion abt him and how abt is character,0,kaggle
right it wasnt you who phoned it was someone with a number like yours,0,kaggle
said kiss  kiss  i can t do the sound effects  he is a gorgeous man isn t he  kind of person who needs a smile to brighten his day,0,kaggle
dont worry  1 day very big lambu ji vl come  til then enjoy batchlor party,0,kaggle
maybe if you woke up before fucking 3 this wouldn t be a problem,0,kaggle
your amazon pay transaction of rs 2500 to amazon is successful,0,seed
urgent  call 09066612661 from landline  your complementary 4  tenerife holiday or å 10 000 cash await collection sae t cs po box 3 wa14 2px 150ppm 18  sender  hol offer,1,kaggle
dear are you angry i was busy dear,0,kaggle
if he started searching he will get job in few days he have great potential and talent,0,kaggle
why tired what special there you had,0,kaggle
call me when u re done,0,kaggle
senthil group company apnt 5pm,0,kaggle
i surely dont forgot to come  i will always be in touch in with you,0,kaggle
we re all getting worried over here  derek and taylor have already assumed the worst,0,kaggle
ìï collecting ur laptop then going to configure da settings izzit,0,kaggle
otp for your pnb login is 279347  valid for 10 minutes  do not share,0,seed
tell her i said eat shit,0,kaggle
sometimes we put walls around our hearts not just to be safe from getting hurt   but to find out who cares enough to break the walls  amp  get closer   goodnoon,0,kaggle
okey dokey swashbuckling stuff what oh,0,kaggle
hello  how s you and how did saturday go  i was just texting to see if you d decided to do anything tomo  not that i m trying to invite myself or anything,0,kaggle
reminder  icici emi of rs 5000 due on 30 april  maintain sufficient balance,0,seed
dear customer your fd of rs 2500 matures on 1 may  visit branch to renew,0,seed
yunny i m walking in citylink now ì_ faster come down    me very hungry,0,kaggle
i will be outside office take all from there,0,kaggle
ding me on ya break fassyole  blacko from londn,0,kaggle
up to ì_    ìï wan come then come lor    but i din c any stripes skirt,0,kaggle
how stupid to say that i challenge god you dont think at all on what i write instead you respond immed,0,kaggle
will be office around 4 pm  now i am going hospital,0,kaggle
it only does simple arithmetic not percentages,0,kaggle
babe     i miiiiiiissssssssss you   i need you     i crave you             geeee     i m so sad without you babe     i love you,0,kaggle
i û ve got some salt  you can rub it in my open wounds if you like,0,kaggle
re your call  you didn t see my facebook huh,0,kaggle
where are you   you said you would be here when i woke,0,kaggle
but you were together so you should be thinkin about him,0,kaggle
how much did ur hdd casing cost,0,kaggle
i m not coming over  do whatever you want,0,kaggle
your icici account balance is rs 25000  transaction on 20 march,0,seed
when you guys planning on coming over,0,kaggle
it took mr owl 3 licks,0,kaggle
haha    they cant what    at the most tmr forfeit    haha so how,0,kaggle
sure  but make sure he knows we ain t smokin yet,0,kaggle
i m back  lemme know when you re ready,0,kaggle
dear customer your fd of rs 1000 matures on 20 march  visit branch to renew,0,seed
thanks for this hope you had a good day today,0,kaggle
ugh hopefully the asus ppl dont randomly do a reformat,0,kaggle
i remain unconvinced that this isn t an elaborate test of my willpower,0,kaggle
send me your id and password,0,kaggle
are you happy baby   are you alright   did you take that job   i hope your fine  i send you a kiss to make you smile from across the sea      kiss   kiss,0,kaggle
better  made up for friday and stuffed myself like a pig yesterday  now i feel bleh  but at least its not writhing pain kind of bleh,0,kaggle
otp for bank of baroda transaction is 661605  share with our executive to complete kyc,1,seed
i dont know what to do to come out of this so only am ask questions like this dont mistake me,0,kaggle
you are awarded a sipix digital camera  call 09061221061 from landline  delivery within 28days  t cs box177  m221bp  2yr warranty  150ppm  16   p på 3 99,1,kaggle
bloody hell  cant believe you forgot my surname mr   ill give u a clue  its spanish and begins with m,0,kaggle
want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join the uk s largest dogging network bt txting gravel to 69888  nt  ec2a  31p msg 150p,1,kaggle
thanks  fills me with complete calm and reassurance,0,kaggle
shb b ok lor    thanx,0,kaggle
o shore are you takin the bus,0,kaggle
where are you   what do you do   how can you stand to be away from me   doesn t your heart ache without me   don t you wonder of me   don t you crave me,0,kaggle
ok i m waliking ard now    do u wan me 2 buy anything go ur house,0,kaggle
total disappointment  when i texted you was the craziest shit got,0,kaggle
what s up  do you want me to come online,0,kaggle
do whatever you want  you know what the rules are  we had a talk earlier this week about what had to start happening  you showing responsibility  yet  every week it s can i bend the rule this way  what about that way  do whatever  i m tired of having thia same argument with you every week  and a  lt   gt  movie doesnt inlude the previews  you re still getting in after 1,0,kaggle
ringtoneking 84484,1,kaggle
i send the print outs da,0,kaggle
how much would it cost to hire a hitman,0,kaggle
no probably  lt   gt,0,kaggle
dear where you  call me,0,kaggle
yeah sure i ll leave in a min,0,kaggle
no problem  how are you doing,0,kaggle
sorry  i ll call later ok bye,0,kaggle
well  balls  time to make calls,0,kaggle
hey  do u fancy meetin me at 4 at cha åð hav a lil beverage on me  if not txt or ring me and we can meet up l8r  quite tired got in at 3 v pist    love pete x x x,0,kaggle
yes  but they said its it,0,kaggle
your phonepe transaction of rs 50000 to flipkart is successful,0,seed
freemsg feelin kinda lnly hope u like 2 keep me company  jst got a cam moby wanna c my pic txt or reply date to 82242 msg150p 2rcv hlp 08712317606 stop to 82242,1,kaggle
i got lousy sleep  i kept waking up every 2 hours to see if my cat wanted to come in  i worry about him when its cold,0,kaggle
did u download the fring app,0,kaggle
you have 1 new message  please call 08715205273,1,kaggle
your sbi account balance is rs 25000  transaction on 15 april,0,seed
ah you see  you have to be in the lingo  i will let you know wot on earth it is when has finished making it,0,kaggle
dear customer enter upi pin to receive rs 1000 cashback from paytm,1,seed
ew are you one of them,0,kaggle
i can t describe how lucky you are that i m actually awake by noon,0,kaggle
y dun cut too short leh  u dun like ah  she failed  she s quite sad,0,kaggle
there re some people by mu  i m at the table by lambda,0,kaggle
should i buy him a blackberry bold 2 or torch  should i buy him new or used  let me know  plus are you saying i should buy the  lt   gt  g wifi ipad  and what are you saying about the about the  lt   gt  g,0,kaggle
good luck  draw takes place 28th feb 06  good luck  for removal send stop to 87239 customer services 08708034412,1,kaggle
bishan lar nearer    no need buy so early cos if buy now i gotta park my car,0,kaggle
i thk 50 shd be ok he said plus minus 10   did ì_ leave a line in between paragraphs,0,kaggle
we r outside already,0,kaggle
yeah we do totes  when u wanna,0,kaggle
pls i wont belive god not only jesus,0,kaggle
also are you bringing galileo or dobby,0,kaggle
the battery is for mr adewale my uncle  aka egbon,0,kaggle
love it  i want to flood that pretty pussy with cum,0,kaggle
when you came to hostel,0,kaggle
water logging in desert  geoenvironmental implications,0,kaggle
im at arestaurant eating squid  i will be out about 10 30 wanna dosomething or is that to late,0,kaggle
cool  i am  lt   gt  inches long  hope you like them big,0,kaggle
congratulations  thanks to a good friend u have won the å 2 000 xmas prize  2 claim is easy  just call 08718726971 now  only 10p per minute  bt national rate,1,kaggle
i have a rather prominent bite mark on my right cheek,0,kaggle
your phonepe transaction of rs 500 to bigbasket is successful,0,seed
ok k  sry i knw 2 siva  tats y i askd,0,kaggle
you still around  looking to pick up later,0,kaggle
lt   gt  mins but i had to stop somewhere first,0,kaggle
velly good  yes please,0,kaggle
k  k are you in college,0,kaggle
in the end she might still vomit but its okay  not everything will come out,0,kaggle
u sure u can t take any sick time,0,kaggle
ofcourse i also upload some songs,0,kaggle
k k  how is your sister kids,0,kaggle
uncle abbey  happy new year  abiola,0,kaggle
urgh  coach hot  smells of chip fat  thanks again  especially for the duvet  not a predictive text word,0,kaggle
u need my presnts always bcz u cant mis love   jeevithathile irulinae neekunna prakasamanu sneham   prakasam ennal prabha  that mns prabha is love  got it  dont mis me,0,kaggle
hello baby  did you get back to your mom s   are you setting up the computer now   filling your belly   how goes it loverboy   i miss you already      sighs,0,kaggle
pansy  you ve been living in a jungle for two years  its my driving you should be more worried about,0,kaggle
wen u miss someone,0,kaggle
your irctc ticket pnr 2685424423 for 15 april is confirmed,0,seed
hello  sort of out in town already  that   so dont rush home  i am eating nachos  will let you know eta,0,kaggle
i am in escape theatre now    going to watch kavalan in a few minutes,0,kaggle
sorry to trouble u again  can buy 4d for my dad again  1405  1680  1843  all 2 big 1 small  sat n sun  thanx,0,kaggle
christmas is an occasion that is celebrated as a reflection of ur    values     desires     affections    amp  traditions     have an ideal christmas,0,kaggle
umma  did she say anything,0,kaggle
looks like u wil b getting a headstart im leaving here bout 2 30ish but if u r desperate for my company i could head in earlier we were goin to meet in rummer,0,kaggle
got c    i lazy to type    i forgot ì_ in lect    i saw a pouch but like not v nice,0,kaggle
forgot you were working today  wanna chat  but things are ok so drop me a text when you re free   bored etc and i ll ring  hope all is well  nose essay and all xx,0,kaggle
check audrey s status right now,0,kaggle
can you just come in for a sec  there s somebody here i want you to see,0,kaggle
i promise to take good care of you  princess  i have to run now  please send pics when you get a chance  ttyl,0,kaggle
aight  let me know when you re gonna be around usf,0,kaggle
sorry da  i was thought of calling you lot of times  lil busy i will call you at noon,0,kaggle
i didnt get anything da,0,kaggle
wow  i never realized that you were so embarassed by your accomodations  i thought you liked it  since i was doing the best i could and you always seemed so happy about  the cave    i m sorry i didn t and don t have more to give  i m sorry i offered  i m sorry your room was so embarassing,0,kaggle
whatsup there  dont u want to sleep,0,kaggle
bored of speed dating  try speedchat  txt speedchat to 80155  if you don t like em txt swap and get a new chatter  chat80155 pobox36504w45wq 150p msg rcd 16,1,kaggle
what s a feathery bowa  is that something guys have that i don t know about,0,kaggle
natalie  20 f  is inviting you to be her friend  reply yes 165 or no 165 see her  www sms ac u natalie2k9 stop  send stop frnd to 62468,1,kaggle
u attend ur driving lesson how many times a wk n which day,0,kaggle
babe   how goes that day   what are you doing   where are you   i sip my cappuccino and think of you  my love     i send a kiss to you from across the sea,0,kaggle
i m on my way home  went to change batt 4 my watch then go shop a bit lor,0,kaggle
i m okay  chasing the dream  what s good  what are you doing next,0,kaggle
i ve got ten bucks  jay is being noncomittal,0,kaggle
santa calling  would your little ones like a call from santa xmas eve  call 09058094583 to book your time,1,kaggle
anything,0,kaggle
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,1,kaggle
good afternoon  my love   any job prospects   are you missing me   what do you do   are you being lazy and bleak  hmmm   or happy and filled with my love,0,kaggle
don t think about  what u have got   think about   how to use it that you have got   good ni8,0,kaggle
ok  how many should i buy,0,kaggle
don t make life too stressfull   always find time to laugh   it may not add years to your life  but surely adds more life to ur years   gud ni8  swt dreams,0,kaggle
r u over scratching it,0,kaggle
hey morning what you come to ask    pa,0,kaggle
hey sweet  i was wondering when you had a moment if you might come to me   i want to send a file to someone but it won t go over yahoo for them because their connection sucks  remember when you set up that page for me to go to and download the format disc   could you tell me how to do that   or do you know some other way to download big files   because they can download stuff directly from the internet  any help would be great  my prey      teasing kiss,0,kaggle
except theres a chick with huge boobs,0,kaggle
hmmm but you should give it on one day,0,kaggle
free  paytm selected your number for rs 500 reward  send pin to claim,1,seed
i dunno they close oredi not    ìï v ma fan,0,kaggle
for the most sparkling shopping breaks from 45 per person  call 0121 2025050 or visit www shortbreaks org uk,1,kaggle
r ì_ comin back for dinner,0,kaggle
yeah we wouldn t leave for an hour at least  how s 4 sound,0,kaggle
hows that watch resizing,0,kaggle
poyyarikatur kolathupalayam unjalur post erode dis   lt   gt,0,kaggle
you should get more chicken broth if you want ramen unless there s some i don t know about,0,kaggle
or ì_ go buy wif him then i meet ì_ later can,0,kaggle
we are both fine  thanks,0,kaggle
how s it going  got any exciting karaoke type activities planned  i m debating whether to play football this eve  feeling lazy though,0,kaggle
otp for your hdfc login is 791597  valid for 10 minutes  do not share,0,seed
amazing   if you rearrange these letters it gives the same meaning    dormitory   dirty room astronomer   moon starer the eyes   they see election results   lies lets recount mother in law   woman hitler eleven plus two  twelve plus one its amazing,0,kaggle
hello darlin ive finished college now so txt me when u finish if u can love kate xxx,0,kaggle
tunji  how s the queen  how are you doing  this is just wishing you a great day  abiola,0,kaggle
well  i meant as opposed to my drunken night of before,0,kaggle
transaction alert  rs 50000 debited from hdfc account for amazon payment,0,seed
same  i m at my great aunts anniversary party in tarpon springs,0,kaggle
oh fuck  juswoke up in a bed on a boatin the docks  slept wid 25 year old  spinout  giv u da gossip l8r  xxx,0,kaggle
living is very simple   loving is also simple   laughing is too simple   winning is tooo simple   but  being  simple  is very difficult,0,kaggle
as usual  iam fine  happy  amp  doing well,0,kaggle
hmv bonus special 500 pounds of genuine hmv vouchers to be won  just answer 4 easy questions  play now  send hmv to 86688 more info www 100percent real com,1,kaggle
how are you with money   as in to you   money aint a thing    how are you sha,0,kaggle
oh k k  where did you take test,0,kaggle
ok i ve sent u da latest version of da project,0,kaggle
about  lt   gt  bucks  the banks fees are fixed  better to call the bank and find out,0,kaggle
hey loverboy  i love you    i had to tell     i look at your picture and ache to feel you between my legs     fuck i want you     i need you     i crave you,0,kaggle
get the official england poly ringtone or colour flag on yer mobile for tonights game  text tone or flag to 84199  optout txt eng stop box39822 w111wx å 1 50,1,kaggle
where u been hiding stranger,0,kaggle
can meh  thgt some will clash    really ah  i dun mind    i dun seen to have lost any weight    gee,0,kaggle
dont make ne plans for nxt wknd coz she wants us to come down then ok,0,kaggle
hi here  have birth at on the to at 8lb 7oz  mother and baby doing brilliantly,0,kaggle
ha  i wouldn t say that i just didn t read anything into way u seemed  i don t like 2 be judgemental    i save that for fridays in the pub,0,kaggle
dear voucher holder 2 claim your 1st class airport lounge passes when using your holiday voucher call 08704439680  when booking quote 1st class x 2,1,kaggle
sure  i am driving but will reach my destination soon,0,kaggle
where did u go  my phone is gonna die you have to stay in here,0,kaggle
thts god s gift for birds as humans hav some natural gift frm god,0,kaggle
your sip of rs 500 in hdfc top 100 has been processed for 20 march,0,seed
dear pnb customer your account is blocked  update kyc at http   hdfc verify net immediately,1,seed
jamster  to get your free wallpaper text heart to 88888 now  t c apply  16 only  need help  call 08701213186,1,kaggle
what s your room number again  wanna make sure i m knocking on the right door,0,kaggle
is there any movie theatre i can go to and watch unlimited movies and just pay once,0,kaggle
k  i will give my kvb acc details,0,kaggle
û_ and don û t worry we û ll have finished by march  û_ ish,0,kaggle
private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08715203694 identifier code  40533 expires 31 10 04,1,kaggle
i thk u dun haf 2 hint in e forum already lor    cos i told ron n darren is going 2 tell shuhui,0,kaggle
what are your new years plans,0,kaggle
i m at home  please call,0,kaggle
my friends use to call the same,0,kaggle
we spend our days waiting for the ideal path to appear in front of us   but what we forget is    paths are made by walking   not by waiting     goodnight,0,kaggle
what was she looking for,0,kaggle
babes i think i got ur brolly i left it in english wil bring it in 2mrw 4 u luv franxx,0,kaggle
i m really sorry i lit your hair on fire,0,kaggle
i luv u soo much u donåõt understand how special u r 2 me ring u 2morrow luv u xxx,0,kaggle
i ll see if i can swing by in a bit  got some things to take care of here firsg,0,kaggle
genius what s up  how your brother  pls send his number to my skype,0,kaggle
get ur 1st ringtone free now  reply to this msg with tone  gr8 top 20 tones to your phone every week just å 1 50 per wk 2 opt out send stop 08452810071 16,1,kaggle
the affidavit says  lt   gt  e twiggs st  division g  courtroom  lt   gt     lt time gt  am  i ll double check and text you again tomorrow,0,kaggle
we regret to inform u that the nhs has made a mistake u were never actually born please report 2 yor local hospital 2b terminated we r sorry 4 the inconvenience,0,kaggle
i just cooked a rather nice salmon a la you,0,kaggle
i dont want to hear anything,0,kaggle
wait   i will msg after  lt   gt  min,0,kaggle
was gr8 to see that message  so when r u leaving  congrats dear  what school and wat r ur plans,0,kaggle
urgent  your mobile no 077xxx won a å 2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362206 asap  box97n7qp  150ppm,1,kaggle
thanks for your ringtone order  ref number k718  your mobile will be charged å 4 50  should your tone not arrive please call customer services on 09065069120,1,kaggle
we will meet soon princess  ttyl,0,kaggle
i thank you so much for all you do with selflessness  i love you plenty,0,kaggle
i m wif him now buying tix lar,0,kaggle
you can stop further club tones by replying  stop mix   see my tone com enjoy  html for terms  club tones cost gbp4 50 week  mfl,1,kaggle
you sure your neighbors didnt pick it up,0,kaggle
staff science nus edu sg  phyhcmk teaching pc1323,0,kaggle
i sent them  do you like,0,kaggle
free any day but i finish at 6 on mon n thurs,0,kaggle
r u meeting da ge at nite tmr,0,kaggle
dear icici customer your account is blocked  update kyc at http   yono update xyz immediately,1,seed
im gonna miss u so much,0,kaggle
the evo  i just had to download flash  jealous,0,kaggle
oh k   i m watching here,0,kaggle
lol that would be awesome payback,0,kaggle
orh i tot u say she now still dun believe,0,kaggle
in that case i guess i ll see you at campus lodge,0,kaggle
for real when u getting on yo  i only need 2 more tickets and one more jacket and i m done  i already used all my multis,0,kaggle
otherwise had part time job na tuition,0,kaggle
urgent  your mobile no 07xxxxxxxxx won a å 2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362231 asap  box97n7qp  150ppm,1,kaggle
had your mobile 10 mths  update to the latest camera video phones for free  keep ur same number  get extra free mins texts  text yes for a call,1,kaggle
your irctc ticket pnr 2524602992 for 1 may is confirmed,0,seed
this phone has the weirdest auto correct,0,kaggle
reminder  pnb emi of rs 2500 due on 15 april  maintain sufficient balance,0,seed
wait i will come out    lt   gt  min,0,kaggle
yup i m still having coffee wif my frens    my fren drove she ll give me a lift,0,kaggle
i cant pick the phone right now  pls send a message,0,kaggle
your electricity bill is overdue  pay rs 2500 now to avoid disconnection at 9876543210,1,seed
are you there in room,0,kaggle
u calling me right  call my hand phone,0,kaggle
congratulations  you won rs 50000 in jio lucky draw  share aadhaar to claim,1,seed
sorry i cant take your call right now  it so happens that there r 2waxsto do wat you want  she can come and ill get her medical insurance  and she ll be able to deliver and have basic care  i m currently shopping for the right medical insurance for her  so just give me til friday morning  thats when i ll see the major person that can guide me to the right insurance,0,kaggle
my drive can only be read  i need to write,0,kaggle
free ringtone text first to 87131 for a poly or text get to 87131 for a true tone  help  0845 2814032 16 after 1st free  tones are 3xå 150pw to eå nd txt stop,1,kaggle
congrats  2 mobile 3g videophones r yours  call 09063458130 now  videochat wid your mates  play java games  dload polyph music  noline rentl,1,kaggle
yalru lyfu astne chikku   bt innu mundhe lyf ali halla ke bilo  marriage program edhae  so lyf is nt yet ovr chikku  ali vargu lyfu meow meow  d,0,kaggle
send a logo 2 ur lover   2 names joined by a heart  txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo  pobox36504w45wq txtno 4 no ads 150p,1,kaggle
and stop wondering  wow is she ever going to stop tm ing me      because i will tm you whenever i want because you are mine      laughs,0,kaggle
private  your 2004 account statement for 078498    7 shows 786 unredeemed bonus points  to claim call 08719180219 identifier code  45239 expires 06 05 05,1,kaggle
as a registered subscriber yr draw 4 a å 100 gift voucher will b entered on receipt of a correct ans  when are the next olympics  txt ans to 80062,1,kaggle
i m really sorry i won t b able 2 do this friday hope u can find an alternative hope yr term s going ok,0,kaggle
hi your hdfc credit card bill of rs 2500 is due on 15 april,0,seed
hi your sbi credit card bill of rs 10000 is due on 20 march,0,seed
otp for bank of baroda transaction is 546918  share with our executive to complete kyc,1,seed
dear we are going to our rubber place,0,kaggle
sms services  for your inclusive text credits  pls goto www comuk net login        unsubscribe with stop  no extra charge  help 08700469649  po box420  ip4 5we,1,kaggle
you still at grand prix,0,kaggle
if india win or level series means this is record,0,kaggle
are you comingdown later,0,kaggle
guy  no flash me now  if you go call me  call me  how madam  take care oh,0,kaggle
spoke with uncle john today  he strongly feels that you need to sacrifice to keep me here  he s going to call you  when he does  i beg you to just listen  dont make any promises or make it clear things are not easy  and i need you to please let us work things out  as long as i keep expecting help  my creativity will be stifled so pls just keep him happy  no promises on your part,0,kaggle
then i buy,0,kaggle
mind blastin   no more tsunamis will occur from now on   rajnikant stopped swimming in indian ocean    d,0,kaggle
awesome question with a cute answer  someone asked a boy  how is ur life        he smiled  amp  answered        she is fine    gudnite,0,kaggle
your hdfc account balance is rs 500  transaction on 5 april,0,seed
income tax refund of rs 10000 is pending  submit details at http   paytm update info,1,seed
xmas offer  latest motorola  sonyericsson   nokia   free bluetooth or dvd  double mins   1000 txt on orange  call mobileupd8 on 08000839402 or call2optout 4qf2,1,kaggle
you will be receiving this week s triple echo ringtone shortly  enjoy it,1,kaggle
urgent  your pan card linked to axis needs verification  click http   yono update xyz,1,seed
mon okie lor    haha  best is cheap n gd food la  ex oso okie    depends on whether wana eat western or chinese food    den which u prefer,0,kaggle
he needs to stop going to bed and make with the fucking dealing,0,kaggle
i m meeting darren,0,kaggle
thanks for the temales it was wonderful  thank  have a great week,0,kaggle
gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles  crazyin  sleepingwith  finest  ymca  getzed co uk pobox365o4w45wq 300p,1,kaggle
income tax refund of rs 2500 is pending  submit details at http   paytm update info,1,seed
nvm take ur time,0,kaggle
i ll see  but prolly yeah,0,kaggle
rose for red red for blood blood for heart heart for u  but u for me     send tis to all ur friends   including me   if u like me   if u get back  1 u r poor in relation  2 u need some 1 to support 3 u r frnd 2 many 4 some1 luvs u 5   some1 is praying god to marry u     try it,0,kaggle
hows the champ just leaving glasgow,0,kaggle
fr ndship is like a needle of a clock  though v r in d same clock  v r nt able 2 met  evn if v meet itz only 4few seconds  bt v alwys stay conected  gud 9t,0,kaggle
thk some of em find wtc too far    weiyi not goin    e rest i dunno yet    r ur goin 4 dinner den i might b able to join,0,kaggle
i can send you a pic if you like,0,kaggle
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork  not cool at all  please do not contact me again or i will report you to your supervisor,0,kaggle
a boy was late 2 home  his father   power of frndship,0,kaggle
am on a train back from northampton so i m afraid not,0,kaggle
goodnight da thangam i really miss u dear,0,kaggle
