text,label
Scan QR code to receive Rs 500 prize from Jio Lucky Draw lucky draw,1
URGENT: Your PAN card linked to Kotak needs verification. Click http://yono-update.xyz,1
Your Paytm wallet KYC is pending. Complete at http://incometax-claim.online or wallet will be blocked,1
Dear customer your FD of Rs 10000 matures on 20 March. Visit branch to renew,0
Transaction alert: Rs 500 debited from HDFC account for Flipkart payment,0
Transaction alert: Rs 25000 debited from PNB account for Flipkart payment,0
Reminder: SBI EMI of Rs 500 due on 20 March. Maintain sufficient balance,0
Your Google Pay transaction of Rs 1000 to Jio is successful,0
Reminder: Axis EMI of Rs 500 due on 5 April. Maintain sufficient balance,0
Your SIP of Rs 10000 in SBI Bluechip Fund has been processed for 15 April,0
Dear customer your FD of Rs 50000 matures on 30 April. Visit branch to renew,0
OTP for your HDFC login is 791597. Valid for 10 minutes. Do not share,0
OTP for your PNB login is 325876. Valid for 10 minutes. Do not share,0
Your IRCTC ticket PNR 5378569700 for 1 May is confirmed,0
Your PhonePe transaction of Rs 500 to BigBasket is successful,0
Your ICICI account balance is Rs 25000. Transaction on 20 March,0
Your SIP of Rs 50000 in HDFC Top 100 has been processed for 15 April,0
Your IRCTC ticket PNR 6581911122 for 5 April is confirmed,0
Your Paytm KYC is complete. You can now send up to Rs 1 lakh per month,0
OTP for your Bank of Baroda login is 991402. Valid for 10 minutes. Do not share,0
Hi your Axis credit card bill of Rs 25000 is due on 15 April,0
Dear customer your FD of Rs 50000 matures on 15 April. Visit branch to renew,0
Reminder: Axis EMI of Rs 1000 due on 30 April. Maintain sufficient balance,0
OTP for your HDFC login is 262563. Valid for 10 minutes. Do not share,0
OTP for your ICICI login is 406448. Valid for 10 minutes. Do not share,0
Your IRCTC ticket PNR 9381733814 for 15 April is confirmed,0
Transaction alert: Rs 25000 debited from PNB account for Swiggy payment,0
Dear customer your FD of Rs 25000 matures on 20 March. Visit branch to renew,0
Your BHIM KYC is complete. You can now send up to Rs 1 lakh per month,0
Reminder: Axis EMI of Rs 500 due on 1 May. Maintain sufficient balance,0
Dear customer your FD of Rs 5000 matures on 1 May. Visit branch to renew,0
Your HDFC account balance is Rs 2500. Transaction on 15 April,0
Your HDFC account balance is Rs 25000. Transaction on 5 April,0
Your Google Pay KYC is complete. You can now send up to Rs 1 lakh per month,0
Your Amazon Pay transaction of Rs 2500 to Amazon is successful,0
Hi your Kotak credit card bill of Rs 10000 is due on 20 March,0
OTP for your PNB login is 698815. Valid for 10 minutes. Do not share,0
Your Bank of Baroda account balance is Rs 25000. Transaction on 1 May,0
Transaction alert: Rs 1000 debited from HDFC account for Amazon payment,0
Hi your Axis credit card bill of Rs 50000 is due on 20 March,0
Reminder: PNB EMI of Rs 500 due on 1 May. Maintain sufficient balance,0
Your IRCTC ticket PNR 2516284877 for 1 May is confirmed,0
Your SIP of Rs 5000 in Axis Long Term Equity has been processed for 5 April,0
Hi your Bank of Baroda credit card bill of Rs 2500 is due on 30 April,0
Your SBI account balance is Rs 50000. Transaction on 15 April,0
Dear customer your FD of Rs 5000 matures on 1 May. Visit branch to renew,0
Reminder: SBI EMI of Rs 500 due on 15 April. Maintain sufficient balance,0
Reminder: Bank of Baroda EMI of Rs 50000 due on 5 April. Maintain sufficient balance,0
Dear customer your FD of Rs 1000 matures on 30 April. Visit branch to renew,0
Your Amazon Pay transaction of Rs 5000 to BigBasket is successful,0
Your SIP of Rs 500 in HDFC Top 100 has been processed for 1 May,0
Your Amazon Pay KYC is complete. You can now send up to Rs 1 lakh per month,0
Your Google Pay transaction of Rs 50000 to Amazon is successful,0
Hi your Bank of Baroda credit card bill of Rs 2500 is due on 30 April,0
OTP for your Kotak login is 427308. Valid for 10 minutes. Do not share,0
Dear customer your FD of Rs 25000 matures on 30 April. Visit branch to renew,0
Your BHIM transaction of Rs 500 to Flipkart is successful,0
Dear customer your FD of Rs 10000 matures on 20 March. Visit branch to renew,0
Your SBI account balance is Rs 500. Transaction on 5 April,0
Dear customer your FD of Rs 10000 matures on 30 April. Visit branch to renew,0
Transaction alert: Rs 1000 debited from Kotak account for Amazon payment,0
OTP for your Bank of Baroda login is 626238. Valid for 10 minutes. Do not share,0
Your SBI account balance is Rs 2500. Transaction on 20 March,0
Your SIP of Rs 10000 in SBI Bluechip Fund has been processed for 5 April,0
Dear customer your FD of Rs 2500 matures on 15 April. Visit branch to renew,0
Your SIP of Rs 10000 in Axis Long Term Equity has been processed for 15 April,0
OTP for your HDFC login is 902997. Valid for 10 minutes. Do not share,0
Dear customer your FD of Rs 500 matures on 15 April. Visit branch to renew,0
OTP for your PNB login is 279347. Valid for 10 minutes. Do not share,0
Hi your ICICI credit card bill of Rs 1000 is due on 15 April,0
OTP for your Kotak login is 573276. Valid for 10 minutes. Do not share,0
OTP for your PNB login is 857894. Valid for 10 minutes. Do not share,0
Your HDFC account balance is Rs 500. Transaction on 5 April,0
Your Kotak account balance is Rs 50000. Transaction on 30 April,0
Your Axis account balance is Rs 1000. Transaction on 1 May,0
Hi your HDFC credit card bill of Rs 50000 is due on 20 March,0
OTP for your HDFC login is 235892. Valid for 10 minutes. Do not share,0
Transaction alert: Rs 10000 debited from PNB account for Swiggy payment,0
Dear customer your FD of Rs 500 matures on 30 April. Visit branch to renew,0
Your Google Pay transaction of Rs 25000 to Zomato is successful,0
Transaction alert: Rs 1000 debited from Kotak account for Airtel payment,0
Reminder: PNB EMI of Rs 2500 due on 15 April. Maintain sufficient balance,0
Dear customer your FD of Rs 25000 matures on 15 April. Visit branch to renew,0
Your SBI account balance is Rs 50000. Transaction on 20 March,0
Reminder: ICICI EMI of Rs 5000 due on 30 April. Maintain sufficient balance,0
Hi your ICICI credit card bill of Rs 10000 is due on 30 April,0
Your HDFC account balance is Rs 5000. Transaction on 5 April,0
Dear customer your FD of Rs 500 matures on 30 April. Visit branch to renew,0
Your IRCTC ticket PNR 7539140400 for 5 April is confirmed,0
Your Paytm KYC is complete. You can now send up to Rs 1 lakh per month,0
Your Amazon Pay transaction of Rs 2500 to Jio is successful,0
Hi your Axis credit card bill of Rs 500 is due on 15 April,0
Your IRCTC ticket PNR 7797247984 for 30 April is confirmed,0
Transaction alert: Rs 1000 debited from HDFC account for Zomato payment,0
Your PhonePe transaction of Rs 5000 to Flipkart is successful,0
OTP for your HDFC login is 429984. Valid for 10 minutes. Do not share,0
Transaction alert: Rs 10000 debited from HDFC account for Jio payment,0
Dear customer your FD of Rs 2500 matures on 20 March. Visit branch to renew,0
Transaction alert: Rs 50000 debited from ICICI account for Flipkart payment,0
OTP for your PNB login is 853609. Valid for 10 minutes. Do not share,0
Dear customer your FD of Rs 5000 matures on 1 May. Visit branch to renew,0
Reminder: Axis EMI of Rs 500 due on 20 March. Maintain sufficient balance,0
Transaction alert: Rs 25000 debited from SBI account for Airtel payment,0
